Designator,Footprint,Quantity,Value,LCSC Part #
D1,LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100,1,LED_RGB,C5342281
D2,0805,1,LED,C2297
H1,SoM_SMD_ThreadedStandoff,1,MountingHole_Pad,C2916321
"J1, J4",PinSocket_1x08_P2.54mm_Vertical,2,1x08,C27438
J2,PinSocket_1x10_P2.54mm_Vertical,1,1x10,C5116489
J3,PinSocket_1x06_P2.54mm_Vertical,1,1x06,C40877
J5,DC-005-A200,1,Barrel_Jack_Switch,C720557
J6,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,Conn_01x02,C295747
J7,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,Conn_01x04,C160390
J8,USB_C_Receptacle_G-Switch_GT-USB-7010i,1,USB_C_Receptacle_USB2.0_16P,C5362630
"R1, R2, R3, R5",0603,4,1k,C21190
"R10, R9",0603,2,5.1k,C23186
"R4, R8",0603,2,10k,C15401
"R6, R7",0603,2,4.7k,C23162
"SW1, SW2",SW_Push_1P1T_XKB_TS-1187A,2,SW_Push,C318884
SW3,G-Swtich_SW_DPDT,1,G_Switch_DPDT,C963205
U1,SoM_M2_Connector,1,BSoM404,C2977809
U2,ParticlePowerModuleSMD,1,PM-BAT,
